ticker_sym,qty,purchased_at,cost_per_share,cost
ABNFX,6.668,2022-01-03,13.39,89.29
ABNFX,0.317,2021-07-01,13.5,4.28
ABNFX,2.701,2021-07-01,13.49,36.44
ABNFX,1.842,2021-04-01,13.34,24.57
ABNFX,209.268,2021-04-01,13.4,2804.0
ABNFX,1.607,2021-03-01,13.5,21.69
ABNFX,106.306,2021-03-01,13.66,1452.0
ABNFX,1.409,2021-02-01,13.7,19.31
ABNFX,231.168,2021-02-01,13.72,3171.0
ABNFX,1.193,2021-01-04,13.79,16.45
ABNFX,8.176,2021-01-04,13.79,112.75
ABNFX,20.314,2021-01-04,13.79,280.13
ABNFX,229.659,2021-01-04,13.81,3171.0
ABNFX,0.872,2020-12-01,14.2,12.38
ABNFX,223.658,2020-12-01,14.18,3171.0
ABNFX,0.631,2020-11-02,13.99,8.83
ABNFX,225.731,2020-11-02,14.05,3171.0
ABNFX,0.307,2020-10-01,14.07,4.32
ABNFX,224.929,2020-10-01,14.1,3171.0
ABNFX,223.746,2020-09-01,14.17,3170.0
AKRIX,24.726,2021-12-10,65.63,1622.74
AKRIX,77.241,2021-04-01,58.25,4499.0
AKRIX,41.736,2021-03-01,55.4,2312.0
AKRIX,94.498,2021-02-01,53.82,5086.0
AKRIX,93.435,2021-01-04,54.43,5086.0
AKRIX,94.13,2020-12-01,54.03,5086.0
AKRIX,102.716,2020-11-02,49.52,5086.0
AKRIX,96.367,2020-10-01,52.78,5086.0
AKRIX,93.314,2020-09-01,54.49,5085.0
AMBFX,8.007,2021-12-15,32.7,261.82
AMBFX,59.105,2021-12-15,32.7,1932.72
AMBFX,7.878,2021-09-14,33.26,262.02
AMBFX,7.946,2021-06-15,32.68,259.67
AMBFX,12.089,2021-06-15,32.68,395.06
AMBFX,248.968,2021-04-01,31.51,7844.0
AMBFX,7.312,2021-03-16,31.09,227.33
AMBFX,130.208,2021-03-01,30.85,4017.0
AMBFX,293.027,2021-02-01,30.27,8871.0
AMBFX,295.764,2021-01-04,29.99,8871.0
